date,address,business,subject,status,detail
2026-08-18T09:41:59+12:00,yabigdd@gmail.com,SELF-TEST,send path self-test,SENT,id=1a011ac98dcf5b8d
2026-08-26T05:04:54+12:00,yabigdd@gmail.com,SELF-TEST,send path self-test,SENT,id=1a039e1cbd39c937
2026-08-26T05:05:57+12:00,office@whiteandtaylor.co.nz (inferred — not directly observed in snippet; phone 03 379 6151 / 027 290 0339 published),www.whiteandtaylor.co.nz,Quick note about the www.whiteandtaylor.co.nz website,FAILED,"<HttpError 400 when requesting https://gmail.googleapis.com/gmail/v1/users/me/messages/send?alt=json returned ""Invalid To header"". Details: ""[{'message': 'Invalid To header', 'domain': 'global', 'reas"
2026-08-26T05:05:57+12:00,office@bcplumbers.co.nz,www.bcplumbers.co.nz,Quick note about the www.bcplumbers.co.nz website,SENT,id=1a039e2c425f43be
2026-08-26T05:05:58+12:00,service@clyne-bennie.co.nz,www.clyne-bennie.co.nz,Quick note about the www.clyne-bennie.co.nz website,SENT,id=1a039e2c6ff03e02
2026-08-26T05:06:00+12:00,office@jcconstruction.co.nz (inferred — not directly observed; phone/contact page published),www.jcconstruction.co.nz,Quick note about the www.jcconstruction.co.nz website,FAILED,"<HttpError 400 when requesting https://gmail.googleapis.com/gmail/v1/users/me/messages/send?alt=json returned ""Invalid To header"". Details: ""[{'message': 'Invalid To header', 'domain': 'global', 'reas"
2026-08-26T05:06:00+12:00,tbirgrass@gmail.com,www.tbir.co.nz,Quick note about the www.tbir.co.nz website,SENT,id=1a039e2cfc73199c
2026-08-26T05:06:02+12:00,office@greenscapes.co.nz (inferred — not directly observed),www.greenscapes.co.nz,Quick note about the www.greenscapes.co.nz website,FAILED,"<HttpError 400 when requesting https://gmail.googleapis.com/gmail/v1/users/me/messages/send?alt=json returned ""Invalid To header"". Details: ""[{'message': 'Invalid To header', 'domain': 'global', 'reas"
2026-08-26T05:06:03+12:00,office@dyerdecorating.co.nz (inferred — not directly observed),dyerdecorating.co.nz,Quick note about the dyerdecorating.co.nz website,FAILED,"<HttpError 400 when requesting https://gmail.googleapis.com/gmail/v1/users/me/messages/send?alt=json returned ""Invalid To header"". Details: ""[{'message': 'Invalid To header', 'domain': 'global', 'reas"
2026-08-26T05:06:04+12:00,contact@prodecorators.co.nz,prodecorators.co.nz,Quick note about the prodecorators.co.nz website,SENT,id=1a039e2dc00b87d0
2026-08-26T05:06:05+12:00,admin@davidrobertson.co.nz / david@davidrobertson.co.nz,www.davidrobertson.co.nz,Quick note about the www.davidrobertson.co.nz website,FAILED,"<HttpError 400 when requesting https://gmail.googleapis.com/gmail/v1/users/me/messages/send?alt=json returned ""Invalid To header"". Details: ""[{'message': 'Invalid To header', 'domain': 'global', 'reas"
